Set Folder,File Name,Convergence,a,b,c,alpha,beta,gamma,Formula,Ga_count,N_count,Energy,Spacegroup
set_8,mp-2442-ErAu-GaN,YES,2.736768298,2.736768298,2.736768298,90,90,90,GaN,1,1,-9.06779163,P m -3 m
set_8,mp-2562-MnS-GaN_randomly_scaled,YES,3.244804775,6.489341415,5.27716494,89.99999444,90,59.99863316,Ga4N4,4,4,-48.73175283,P 1
set_8,mp-2807-ScP-GaN_swapped,YES,3.024624149,3.024624149,3.024624149,60,60,60,GaN,1,1,-11.3666147,F m -3 m
set_8,mp-236-SN-GaN,YES,3.394213754,4.65277308,5.890770418,89.81090972,90,90,Ga4N4,4,4,-46.86152179,P 21/c
set_8,mp-31509-BaIn-GaN_swapped,YES,3.033204821,4.265827505,7.402869668,125.149401,90,90,Ga4N4,4,4,-45.39431708,P 21/m
set_8,mp-2442-ErAu-GaN_randomly_scaled,YES,2.736814633,2.736814633,5.473646847,90,90,90,Ga2N2,2,2,-18.13559074,P m -3 m
set_8,mp-2765-PuB-GaN_randomly_scaled,YES,3.023967979,6.047611969,3.023967979,59.9982278,60,59.9982278,Ga2N2,2,2,-22.73668729,R -3 m
set_8,mp-2599-NdN-GaN,YES,3.023397519,3.023397519,3.023397519,60,60,60,GaN,1,1,-11.36829225,F m -3 m
set_8,mp-2808-ZrRh-GaN_randomly_scaled,YES,5.509885446,2.723102155,2.723102155,90,90,90,Ga2N2,2,2,-18.25587889,P 4/m m m
set_8,mp-2491-ErSe-GaN_swapped_randomly_scaled,YES,3.024312942,6.050876349,3.024312942,60.01230238,60,60.01230238,Ga2N2,2,2,-22.74128477,R -3 m
set_8,mp-284-AlCo-GaN_swapped,YES,2.734502859,2.734502859,2.734502859,90,90,90,GaN,1,1,-9.07402016,P m -3 m
set_8,mp-2713-ErIr-GaN,YES,2.738358826,2.738358826,2.738358826,90,90,90,GaN,1,1,-9.12974518,P m -3 m
set_8,mp-2678-VPt-GaN,YES,3.922157071,3.922157071,2.651633589,90,90,90,Ga2N2,2,2,-18.18086545,P 4/m m m
set_8,mp-2314-LiPb-GaN_swapped,YES,2.736903838,2.736903838,2.736903838,90,90,90,GaN,1,1,-9.06772092,P m -3 m
set_8,mp-2640-TbAs-GaN,YES,3.024113574,3.024113574,3.024113574,60,60,60,GaN,1,1,-11.36826829,F m -3 m
set_8,mp-348-TmPd-GaN,YES,2.736876145,2.736876145,2.736876145,90,90,90,GaN,1,1,-9.13059176,P m -3 m
set_8,mp-24719-NiH-GaN_swapped_randomly_scaled,YES,6.011838902,3.005922008,3.005922008,60,59.99997185,59.99997185,Ga2N2,2,2,-22.53766296,F m -3 m
set_8,mp-2696-MgAg-GaN_swapped,YES,2.736888603,2.736888603,2.736888603,90,90,90,GaN,1,1,-9.12865228,P m -3 m
set_8,mp-2423-US-GaN,YES,3.025685781,3.025685781,3.025685781,60,60,60,GaN,1,1,-11.36795907,F m -3 m
set_8,mp-2743-LiPd-GaN_swapped,YES,2.733505077,2.733505077,2.733505077,90,90,90,GaN,1,1,-9.07727317,P m -3 m
set_8,mp-30365-BeAu-GaN_swapped_randomly_scaled,YES,4.279122774,4.277349491,8.54697491,89.99983679,90.0000035,89.99997714,Ga8N8,8,8,-90.8910024,P 1
set_8,mp-2540-VTc-GaN_randomly_scaled,YES,2.721630074,5.515233238,2.721630074,90,90,90,Ga2N2,2,2,-18.2393944,P 4/m m m
set_8,mp-252-BeTe-GaN_randomly_scaled,YES,3.245097404,6.48948994,3.245097404,59.99640692,60,59.99640692,Ga2N2,2,2,-24.33923396,R 3 m
set_8,mp-2600-BaTe-GaN_randomly_scaled,YES,2.776541106,2.776541106,5.299900012,90,90,90,Ga2N2,2,2,-18.21966046,P 4/m m m
set_8,mp-23722-HCl-GaN,YES,3.025958885,3.025958885,3.025958885,60,60,60,GaN,1,1,-11.35803374,F m -3 m
set_8,mp-2470-DyS-GaN_swapped_randomly_scaled,YES,3.022878571,6.05389966,3.022878571,60.0444824,60,60.0444824,Ga2N2,2,2,-22.74028711,R -3 m
set_8,mp-24289-HPd-GaN_randomly_scaled,YES,3.027535918,3.027535918,6.055185501,60.00062095,60.00062095,60,Ga2N2,2,2,-22.70680232,R -3 m
set_8,mp-23703-LiH-GaN,YES,3.025015525,3.025015525,3.025015525,60,60,60,GaN,1,1,-11.34904169,F m -3 m
set_8,mp-2502-TmCd-GaN,YES,2.735664234,2.735664234,2.735664234,90,90,90,GaN,1,1,-9.06817073,P m -3 m
set_8,mp-2493-CeN-GaN_swapped_randomly_scaled,YES,3.023093845,6.046089644,3.023093845,59.99946357,60,59.99946357,Ga2N2,2,2,-22.73467072,R -3 m
set_8,mp-2823-NdP-GaN_randomly_scaled,YES,3.025072179,6.045069451,3.025072179,59.97222528,60,59.97222528,Ga2N2,2,2,-22.74166316,R -3 m
set_8,mp-316-MnV-GaN_swapped_randomly_scaled,YES,2.734571352,2.734571352,5.469125129,90,90,90,Ga2N2,2,2,-18.14927731,P m -3 m
set_8,mp-342-SmTe-GaN_swapped,YES,3.023521588,3.023521588,3.023521588,60,60,60,GaN,1,1,-11.36004476,F m -3 m
set_8,mp-2323-BeCu-GaN_swapped_randomly_scaled,YES,5.467540343,2.733816518,2.733816518,90,90,90,Ga2N2,2,2,-18.14336937,P 4/m m m
set_8,mp-2534-GaAs-GaN_swapped_randomly_scaled,YES,3.246748122,6.492720577,3.246748122,59.99604798,60,59.99604798,Ga2N2,2,2,-24.3403227,R 3 m
set_8,mp-2831286-MnO-GaN_swapped_randomly_scaled,YES,6.493050615,5.632340721,5.27833043,89.99994258,90.00045867,90.00047595,Ga8N8,8,8,-97.36543511,P 1
set_8,mp-2563-CeSe-GaN_randomly_scaled,YES,3.02634198,6.046291647,3.02634198,59.96502099,60,59.96502099,Ga2N2,2,2,-22.74186186,R -3 m
set_8,mp-2384-LaP-GaN_swapped_randomly_scaled,YES,3.024051595,6.047932457,3.024051595,59.99906616,60,59.99906616,Ga2N2,2,2,-22.71958404,R -3 m
set_8,mp-448-CoN-GaN_swapped_randomly_scaled,YES,3.239423403,6.478848709,3.239423403,60.00000971,60,60.00000971,Ga2N2,2,2,-24.28290511,F -4 3 m
set_8,mp-437-MgAu-GaN_swapped_randomly_scaled,YES,2.726587419,5.496631526,2.726587419,90,90,90,Ga2N2,2,2,-18.2548911,P 4/m m m
set_8,mp-2532-PrTe-GaN_randomly_scaled,YES,3.02409335,3.02409335,6.048195158,60.00004625,60.00004625,60,Ga2N2,2,2,-22.72052526,F m -3 m
set_8,mp-279-LiIr-GaN_randomly_scaled,YES,2.975837188,5.951703986,2.686585374,90,90,120.0022417,Ga2N2,2,2,-20.70596239,P m
set_8,mp-2510-ZrHg-GaN,YES,2.809923754,3.831242685,3.831242685,90,90,90,Ga2N2,2,2,-18.13596932,P 4/m m m
set_8,mp-2803876-AgO-GaN_randomly_scaled,YES,6.153973951,3.076972515,5.341896312,90,90,90.31474078,Ga4N4,4,4,-42.36667315,P 2/m
set_8,mp-23197-TlI-GaN,YES,2.752434281,2.752434281,2.752434281,90,90,90,GaN,1,1,-9.01053393,P m -3 m
set_8,mp-2627-DyAs-GaN_swapped_randomly_scaled,YES,6.049105534,3.025813515,3.025813515,60,59.98621016,59.98621016,Ga2N2,2,2,-22.74156786,R -3 m
set_8,mp-23300-NdBi-GaN_randomly_scaled,YES,3.023686555,6.047312008,3.023686555,59.99966576,60,59.99966576,Ga2N2,2,2,-22.7208499,R -3 m
set_8,mp-2701-NbN-GaN,YES,3.010031717,3.010031717,5.113310476,90,90,120,Ga2N2,2,2,-22.17969792,P 63/m m c
set_8,mp-2491-ErSe-GaN_swapped,YES,3.024528301,3.024528301,3.024528301,60,60,60,GaN,1,1,-11.36809564,F m -3 m
set_8,mp-27923-TbCl-GaN,YES,6.887066383,6.88683197,6.887066383,28.05469537,28.05530981,28.05469537,Ga2N2,2,2,-23.09509627,C 2/m
set_8,mp-2559-SeS-GaN,YES,3.02424964,3.02424964,3.02424964,60,60,60,GaN,1,1,-11.36726051,F m -3 m
set_8,mp-23285-CeBi-GaN_swapped_randomly_scaled,YES,3.025557498,6.051156851,3.025557498,60.0002288,60,60.0002288,Ga2N2,2,2,-22.72104976,R -3 m
